"",CustomerID,mean_prob
3518,1393-IMKZG,91.529759
5657,7577-SWIFR,91.174089
2676,7439-DKZTW,90.796628
6213,1628-BIZYP,89.833023
5525,7379-FNIUJ,89.616652
5906,4912-PIGUY,89.280475
2215,1452-VOQCH,89.220666
1939,2424-WVHPL,89.178003
5676,9840-EFJQB,89.110852
4030,5542-TBBWB,88.899224
3732,4927-WWOOZ,88.678061
3185,5091-HFAZW,88.664739
2439,0139-IVFJG,88.531131
3738,0722-SVSFK,88.494561
3796,2262-SLNVK,88.415432
3662,9603-OAIHC,88.412595
6795,4566-NECEV,88.348709
4327,5043-TRZWM,88.203569
3364,8775-ERLNB,88.134515
3634,6734-GMPVK,88.071239
6811,7315-WYOAW,88.046873
4551,3878-AVSOQ,88.020092
5728,4060-LDNLU,87.968793
2994,2984-AFWNC,87.943248
4198,5150-ITWWB,87.917934
5279,6350-XFYGW,87.903232
4624,3489-HHPFY,87.785664
4341,2545-EBUPK,87.785664
2125,0021-IKXGC,87.767095
3141,7398-SKNQZ,87.706007
4062,0258-NOKBL,87.667587
3273,3318-NMQXL,87.661137
6353,9605-WGJVW,87.656358
6613,5339-PXDVH,87.612714
2093,8266-VBFQL,87.600911
4329,1640-PLFMP,87.584458
4845,8161-QYMTT,87.491616
3467,2038-OEQZH,87.430614
6280,3462-BJQQA,87.397799
3712,8622-ZLFKO,87.344652
5186,0225-ZORZP,87.310562
2567,6630-UJZMY,87.308120
2086,4847-TAJYI,87.291834
5177,7465-ZZRVX,87.263420
3333,1960-UYCNN,87.234892
4188,8903-WMRNW,87.227440
2628,8242-SOQUO,87.180026
2960,9290-SHCMB,87.153815
3407,8087-LGYHQ,87.144117
3605,2789-HQBOU,87.131449
3602,8739-XNIKG,87.124006
2427,6923-JHPMP,87.106821
3128,6435-SRWBJ,87.082293
6228,8035-PWSEV,87.060970
5511,4298-OYIFC,87.058261
3559,4813-HQMGZ,87.057012
2232,9094-AZPHK,87.047815
2802,1251-STYSZ,87.040595
4516,6357-JJPQT,87.005806
6431,6458-CYIDZ,86.976743
6496,3422-GALYP,86.938679
4883,8687-BAFGU,86.934191
3101,0793-TWELN,86.926393
3932,3904-UKFRE,86.923699
2530,2123-AGEEN,86.882016
3970,9093-FPDLG,86.879517
4971,4395-PZMSN,86.866490
3012,9957-YODKZ,86.842603
2265,4234-XTNEA,86.821191
5745,3338-CVVEH,86.809686
5498,3420-YJLQT,86.785772
2798,4741-WWJQZ,86.782849
6702,6969-MVBAI,86.764733
6327,4884-ZTHVF,86.729999
4274,3629-ZNKXA,86.705353
6695,6215-NQCPY,86.701399
4714,0365-BZUWY,86.689545
4927,0187-QSXOE,86.685325
4287,4132-KALRO,86.678077
6260,4853-OITSN,86.671965
4799,1200-TUZHR,86.633311
5570,3320-VEOYC,86.549712
5031,4123-DVHPH,86.528977
5963,6918-UMQCG,86.525953
2267,5348-CAGXB,86.466056
6983,3914-FDRHP,86.447866
2131,4115-NZRKS,86.430652
5341,5760-FXFVO,86.326673
6277,2080-GKCWQ,86.288842
6898,6229-LSCKB,86.283273
6812,1173-XZPYF,86.280468
6172,3370-HXOPH,86.236398
4806,6986-IXNDM,86.224900
5733,4299-SIMNS,86.195318
4087,4770-UEZOX,86.190783
2112,5701-YVSVF,86.172790
5364,1319-YLZJG,86.132254
3989,7517-LDMPS,86.132254
6102,5937-EORGB,86.129003
1969,2876-GZYZC,86.126068
3549,2754-SDJRD,86.113491
4152,0315-LVCRK,86.108861
4947,7858-GTZSP,86.107506
6949,2215-ZAFGX,86.062601
4664,1508-DFXCU,85.989498
3814,2792-LSHWX,85.964122
1933,4445-ZJNMU,85.839096
3142,5935-FCCNB,85.792785
3615,4559-UWIHT,85.770665
5145,0577-WHMEV,85.739788
5369,6583-KQJLK,85.738679
6059,6719-OXYBR,85.723232
4227,0570-BFQHT,85.697320
4431,9402-ORRAH,85.652528
5580,5429-LWCMV,85.652374
4181,2468-SJFLM,85.648696
5614,2507-QZPQS,85.644871
4779,7225-CBZPL,85.640460
4669,9773-PEQBZ,85.597998
1889,4929-XIHVW,85.562411
7011,0928-XUTSN,85.536153
6106,4583-PARNH,85.450243
2056,0221-WMXNQ,85.448477
4730,4090-KPJIP,85.448234
4870,2688-BHGOG,85.288306
2684,7363-QTBIW,85.284814
4728,8104-OSKWT,85.264596
3354,5989-PGKJB,85.252651
2986,6198-RTPMF,85.239198
3682,1197-BVMVG,85.237392
5717,7668-XCFYV,85.236045
2620,7426-RHZGU,85.129349
2380,8040-MNRTF,85.030623
6465,7823-JSOAG,85.018070
3676,9050-IKDZA,84.974875
3138,6407-UTSLV,84.966793
6295,2325-NBPZG,84.961058
6052,5399-ZIMKF,84.897911
6306,9714-EDSUC,84.883749
3408,4137-BTIKL,84.815574
4476,2880-FPNAE,84.782063
5607,1746-TGTWV,84.640423
4054,2674-MIAHT,84.613428
3339,3365-SAIGS,84.574887
4481,2254-DLXRI,84.507143
2359,5183-SNMJQ,84.501824
3552,2135-DQWAQ,84.451204
2896,8714-CTZJW,84.446312
5144,4749-OJKQU,84.406889
4797,0432-CAJZV,84.314243
3126,4854-CIDCF,84.305891
3701,1212-GLHMD,84.304917
4884,0641-EVBOJ,84.290972
6932,7952-OBOYL,84.269825
6145,8132-YPVBX,84.201136
5653,3295-YVUSR,84.159891
4610,5288-AHOUP,84.155399
3679,1475-VWVDO,84.129028
6011,9334-GWGOW,84.068473
6550,6856-RAURS,84.051720
5065,3969-GYXEL,84.009995
4335,0840-DFEZH,84.005332
5299,5032-MIYKT,83.995190
6727,9696-RMYBA,83.974707
3025,3292-PBZEJ,83.928137
